[2022-10-07 00:49:52.252] [exthost] [info] Extension host with pid 21635 started
[2022-10-07 00:49:52.326] [exthost] [info] Lock '/root/.vscode-server/data/User/workspaceStorage/e97aa1ac7cb2a0bf95ed5220ee3cb280/vscode.lock': Lock acquired.
[2022-10-07 00:49:52.457] [exthost] [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
[2022-10-07 00:49:52.572] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2022-10-07 00:49:52.578] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
[2022-10-07 00:49:52.584] [exthost] [info] ExtensionService#_doActivateExtension vscode.ipynb, startup: true, activationEvent: '*'
[2022-10-07 00:49:53.009] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2022-10-07 00:49:53.321] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
[2022-10-07 00:49:54.072] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2022-10-07 00:49:54.174] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2022-10-07 00:49:54.189] [exthost] [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onStartupFinished', root cause: esbenp.prettier-vscode
[2022-10-07 00:49:54.340] [exthost] [info] Eager extensions activated
[2022-10-07 00:49:57.659] [exthost] [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
[2022-10-07 00:57:17.655] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 00:57:17.656] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 00:57:17.656] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
